id,nama
5288,pensil
5993,pulpen
8689,penghapus
8043,buku
8699,sampul
2156,penggaris
4457,kertas
8938,cat
2618,stabilo
9033,mobil
9971,motor
3874,becak
5914,sepeda
2398,kereta
3725,pesawat
5210,perahu
7363,kapal
7631,rakit
4513,kipas
5656,charger
6453,peci
8783,sarung
8194,sajadah
9783,smartphone
3685,jam
4490,televisi
8294,laptop
8563,komputer
1070,mouse
5408,keyboard
8258,tablet
9309,jendela
1138,kaca
2751,pintu
3258,kompor
6402,lemari
7921,kasur
9781,ranjang
3818,bantal
5204,baju
6119,kaos
1928,celana
4207,mukena
7255,jilbab
5309,pigura
2897,antena
8028,kulkas
1660,dispenser
3248,meja
5641,kursi
7376,kemoceng
3525,sapu
4492,gayung
7187,sabun
1305,sikat
6602,shampo
8153,botol
3561,gelas
5082,piring
7151,panci
7524,wajan
9178,blender
9817,galon
4304,cobek
6820,termos
9151,kran
3482,selang
3316,karpet
5192,tikar
7572,keset
7660,sepatu
9224,kaos kaki
5083,jaket
6362,piama
6465,piano
9888,gitar
4159,angklung
4969,suling
5097,toples
6271,parfum
9250,sisir
3409,topi
4577,gunting
6244,pisau
8612,kaleng
4650,tisu
6799,tas
9298,ikat pinggang
4361,korek api
4379,kopi
6928,gula
3195,cabai
5741,wortel
6852,timun
8147,apel
8902,jeruk
8967,tomat
1302,pisang
2363,pepaya
6861,bawang
